scenario_id,priority,task_count,h1_oracle_agreement,placement_disagreement,defer_disagreement,h1_defer,oracle_defer,status
B_SPOTGPU2026_MEDIUM,HP,415713,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,PREFLIGHT_COUNTS_ONLY
B_SPOTGPU2026_MEDIUM,Spot,51154,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,PREFLIGHT_COUNTS_ONLY
A_ALIBABA2020_REPAIRED,NOT_STORED_IN_V2,259920,NOT_AVAILABLE_BY_PRIORITY,NOT_AVAILABLE_BY_PRIORITY,NOT_AVAILABLE_BY_PRIORITY,NOT_AVAILABLE_BY_PRIORITY,NOT_AVAILABLE_BY_PRIORITY,V2_SCHEMA_LIMITATION
