scenario,planner,states,task_actions,defer_actions,defer_rate,h1_h4_disagreement_rate,status
B_SPOTGPU2026_NATIVE_5DC,H1,64,3109,0,0.0,NOT_STORED_PREFLIGHT_ONLY,SOLVABILITY_PREFLIGHT_NOT_FORMAL_EXPERT
B_SPOTGPU2026_NATIVE_5DC,H4,64,3109,0,0.0,NOT_STORED_PREFLIGHT_ONLY,SOLVABILITY_PREFLIGHT_NOT_FORMAL_EXPERT
