scenario_id,risk_threshold,threshold_source,high_risk_states,high_risk_state_rate,status
A_ALIBABA2020_REPAIRED,0.5854637687956499,FIXED_P95_PRIOR_EXPERIMENT,421,0.05481770833333333,V2_FROZEN_BASELINE
B_SPOTGPU2026_MEDIUM,NOT_COMPUTED,SPOT_TRAIN_STATE_P95_REQUIRED,NOT_RUN,NOT_RUN,SPOT_PREFLIGHT_BLOCKED
