window_type,step,new_task_count,queue_before_dispatch,queue_after_dispatch,overdue_queue_before_dispatch,cumulative_hard_sla_violations,running_task_count,used_cpu,used_gpu,used_memory,h1_status,h1_solve_ms,h1_terminal_backlog,h1_projected_sla_violations,h1_defer_actions,h1_integer_variables,h4_status,h4_solve_ms,h4_terminal_backlog,h4_projected_sla_violations,h4_defer_actions,h4_integer_variables
LONG_TASK_DENSE,7055,116,116,0,0,0,5758,173223.68000000002,6871.149999999999,115340.78281822226,optimal,2.4480000138282776,0,0,0,696,optimal,8.811299921944737,0,0,0,3016
LONG_TASK_DENSE,7056,53,53,0,0,0,5769,174102.68000000002,6857.649999999999,115664.68509713076,optimal,1.5953999245539308,0,0,0,318,optimal,5.674800020642579,0,0,0,1378
LONG_TASK_DENSE,7057,22,22,0,0,0,5748,173348.68000000002,6823.149999999999,115394.59427720649,optimal,1.1355000315234065,0,0,0,132,optimal,2.217500004917383,0,0,0,572
LONG_TASK_DENSE,7058,97,97,0,0,0,5801,174520.68000000002,6852.849999999999,117484.36365963914,optimal,2.052999916486442,0,0,0,582,optimal,6.143699982203543,0,0,0,2522
LONG_TASK_DENSE,7059,30,30,0,0,0,5809,174703.68000000002,6868.249999999999,117621.28867660768,optimal,1.3268999755382538,0,0,0,180,optimal,2.5390000082552433,0,0,0,780
LONG_TASK_DENSE,7060,24,24,0,0,0,5792,174813.68000000002,6862.649999999999,117391.85758876672,optimal,1.1257999576628208,0,0,0,144,optimal,2.346999943256378,0,0,0,624
LONG_TASK_DENSE,7061,28,28,0,0,0,5785,174635.68000000002,6853.149999999999,117216.30053997392,optimal,1.270200009457767,0,0,0,168,optimal,2.5312999496236444,0,0,0,728
LONG_TASK_DENSE,7062,27,27,0,0,0,5786,174842.68000000002,6868.149999999999,117254.35199764659,optimal,1.1885999701917171,0,0,0,162,optimal,2.434500027447939,0,0,0,702
LONG_TASK_DENSE,7063,40,40,0,0,0,5798,175359.68000000002,6887.149999999999,117700.40555069545,optimal,1.4051999896764755,0,0,0,240,optimal,3.195099998265505,0,0,0,1040
LONG_TASK_DENSE,7064,33,33,0,0,0,5802,175921.68000000002,6923.649999999999,117861.27740312884,optimal,1.2901000445708632,0,0,0,198,optimal,2.848200034350157,0,0,0,858
LONG_TASK_DENSE,7065,36,36,0,0,0,5797,176065.68000000002,6938.649999999999,117609.17941858164,optimal,1.3540999498218298,0,0,0,216,optimal,3.0979999573901296,0,0,0,936
LONG_TASK_DENSE,7066,40,40,0,0,0,5801,176691.68000000002,6981.649999999999,117620.67307638892,optimal,1.3951000291854143,0,0,0,240,optimal,3.1681000255048275,0,0,0,1040
LONG_TASK_DENSE,7067,41,41,0,0,0,5809,177325.68000000002,7018.649999999999,117662.43628123477,optimal,1.3692000648006797,0,0,0,246,optimal,3.5421999637037516,0,0,0,1066
LONG_TASK_DENSE,7068,41,41,0,0,0,5811,177194.68000000002,7006.649999999999,117706.3081505651,optimal,1.5994999557733536,0,0,0,246,optimal,3.3273999579250813,0,0,0,1066
LONG_TASK_DENSE,7069,138,138,0,0,0,5906,179164.68000000002,7063.649999999999,120357.97317100884,optimal,2.692700014449656,0,0,0,828,optimal,9.905799990519881,0,0,0,3588
HIGH_LOAD,9144,103,103,0,0,0,6492,168656.68,7592.250000000001,129212.5840880514,optimal,2.127300016582012,0,0,0,618,optimal,6.721699959598482,0,0,0,2678
HIGH_LOAD,9145,81,81,0,0,0,6458,168469.68,7557.550000000001,128754.8002187035,optimal,1.9768000347539783,0,0,0,486,optimal,5.41649991646409,0,0,0,2106
HIGH_LOAD,9146,87,87,0,0,0,6447,168455.68,7545.250000000001,128643.85493895016,optimal,2.0952000049874187,0,0,0,522,optimal,6.068999995477498,0,0,0,2262
HIGH_LOAD,9147,114,114,0,0,0,6474,168505.68,7569.750000000001,128978.37759587914,optimal,2.3162999423220754,0,0,0,684,optimal,7.804099936038256,0,0,0,2964
HIGH_LOAD,9148,110,110,0,0,0,6486,168607.68,7589.55,129165.6258191848,optimal,2.3591999197378755,0,0,0,660,optimal,7.860800018534064,0,0,0,2860
HIGH_LOAD,9149,105,105,0,0,0,6469,168741.68,7586.05,128945.48056899224,optimal,2.218300011008978,0,0,0,630,optimal,8.092699921689928,0,0,0,2730
HIGH_LOAD,9150,101,101,0,0,0,6455,168249.68,7536.750000000001,128717.5025593894,optimal,2.1721000084653497,0,0,0,606,optimal,7.389900041744113,0,0,0,2626
HIGH_LOAD,9151,93,93,0,0,0,6447,168109.68,7533.050000000001,128615.36361347832,optimal,2.0866000559180975,0,0,0,558,optimal,6.1301999958232045,0,0,0,2418
HIGH_LOAD,9152,111,111,0,0,0,6453,168089.68,7549.050000000001,128757.3818408825,optimal,2.464899909682572,0,0,0,666,optimal,6.909300107508898,0,0,0,2886
HIGH_LOAD,9153,102,102,0,0,0,6454,168129.68,7555.250000000001,128753.60703493857,optimal,2.3234999971464276,0,0,0,612,optimal,6.558699999004602,0,0,0,2652
HIGH_LOAD,9154,87,87,0,0,0,6431,167951.68,7532.250000000001,128460.53658792122,optimal,2.0164999878033996,0,0,0,522,optimal,5.655699991621077,0,0,0,2262
HIGH_LOAD,9155,113,113,0,0,0,6442,168081.68,7548.550000000001,128550.9305604165,optimal,2.3361999774351716,0,0,0,678,optimal,7.593899965286255,0,0,0,2938
HIGH_LOAD,9156,97,97,0,0,0,6446,168364.68,7566.550000000001,128647.36728777461,optimal,2.128100022673607,0,0,0,582,optimal,6.26140006352216,0,0,0,2522
HIGH_LOAD,9157,93,93,0,0,0,6424,168401.68,7557.250000000001,128340.94319251044,optimal,2.326300018467009,0,0,0,558,optimal,6.464299978688359,0,0,0,2418
HIGH_LOAD,9158,121,121,0,0,0,6445,169082.68,7606.250000000001,128595.25100052661,optimal,2.4124999763444066,0,0,0,726,optimal,8.206699974834919,0,0,0,3146
HIGH_LOAD,9159,146,146,0,0,0,6495,170751.68,7710.250000000001,129192.71000158212,optimal,2.7216000016778708,0,0,0,876,optimal,12.756200041621923,0,0,0,3796
