window_type,start_step,restored_running_task_count,restored_pre_window_running_task_count,restored_cpu,restored_gpu,restored_memory,restored_pending_count,empty_state_start,restore_method
LOW_LOAD,2309,5011,5011,155484.2,5950.800000000002,88722.9180761412,0,False,CONTINUOUS_PREFIX_REPLAY_FROM_TRAIN_STEP_0
MEDIUM_LOAD,2949,5307,5307,162271.0,6278.3,94014.97481677843,0,False,CONTINUOUS_PREFIX_REPLAY_FROM_TRAIN_STEP_0
LONG_TASK_DENSE,7054,5616,5616,167358.68,6686.150000000003,112070.95514380767,0,False,CONTINUOUS_PREFIX_REPLAY_FROM_TRAIN_STEP_0
HIGH_LOAD,9144,6389,6389,167828.68000000002,7484.749999999995,127815.62829273363,0,False,CONTINUOUS_PREFIX_REPLAY_FROM_TRAIN_STEP_0
