step_complete,total_steps,elapsed_seconds_this_process,estimated_remaining_seconds,pending,running,in_transit,completed,h1_solver_calls,h4_solver_calls,h1_failures,h4_failures,h1_defers,h4_defers,task_decisions,output_bytes,recorded_at_utc,h1_presolve_retries,h4_presolve_retries
8500,17670,899.4449717999669,1434.4191985053385,0,5918,35,240531,8500,8500,0,0,0,0,246484,38996523,2026-09-06T06:27:19.643556+00:00,0.0,2.0
8750,17670,942.5176793999271,1401.2096167078917,0,5930,32,247896,8750,8750,0,0,0,0,253858,40162381,2026-09-06T06:28:02.716502+00:00,0.0,2.0
9000,17670,996.8308852999471,1382.8038040880867,0,6723,104,265314,9000,9000,0,0,0,0,272141,42200510,2026-09-06T06:28:57.030965+00:00,0.0,2.0
9250,17670,1067.4652410999406,1382.7780507786922,0,5999,158,296372,9250,9250,0,0,0,0,302529,45297572,2026-09-06T06:30:07.668623+00:00,0.0,2.0
9500,17670,1109.8085464999313,1343.2793814673241,0,5899,13,303532,9500,9500,0,0,0,0,309444,46408190,2026-09-06T06:30:50.008067+00:00,0.0,2.0
9750,17670,1145.4733338999795,1296.0212577839768,0,5835,12,305926,9750,9750,0,0,0,0,311773,47253534,2026-09-06T06:31:25.673516+00:00,0.0,2.0
10000,17670,1183.6073149000295,1252.1749110735484,0,5645,8,310121,10000,10000,0,0,0,0,315774,48186654,2026-09-06T06:32:03.809658+00:00,0.0,2.0
10250,17670,1223.4124675999628,1210.3627346122298,0,5795,22,315908,10250,10250,0,0,0,0,321725,49306417,2026-09-06T06:32:43.613797+00:00,0.0,2.0
10500,17670,1260.5268846999388,1166.190679135298,0,5661,10,320309,10500,10500,0,0,0,0,325980,50280531,2026-09-06T06:33:20.733046+00:00,0.0,2.0
10750,17670,1302.127893799916,1126.3406281369273,0,5770,25,327529,10750,10750,0,0,0,0,333324,51446902,2026-09-06T06:34:02.333057+00:00,0.0,2.0
11000,17670,1340.7841564000119,1084.003675537949,0,5637,21,333151,11000,11000,0,0,0,0,338809,52449324,2026-09-06T06:34:40.986432+00:00,0.0,2.0
11250,17670,1381.261034599971,1043.2583343684487,0,5627,16,339864,11250,11250,0,0,0,0,345507,53626015,2026-09-06T06:35:21.466519+00:00,0.0,2.0
11500,17670,1422.5876512000104,1003.1275209033215,0,5603,25,347453,11500,11500,0,0,0,0,353081,54813235,2026-09-06T06:36:02.792318+00:00,0.0,2.0
11750,17670,1459.5030813999474,960.0286935430764,0,5488,15,351853,11750,11750,0,0,0,0,357356,55758661,2026-09-06T06:36:39.708303+00:00,0.0,3.0
12000,17670,1501.4893944999203,920.3724180340052,0,5586,11,360234,11998,11998,0,0,0,0,365831,56955133,2026-09-06T06:37:21.699439+00:00,0.0,3.0
12250,17670,1539.0845829999307,878.0882568273289,0,5594,7,365041,12248,12248,0,0,0,0,370642,57958323,2026-09-06T06:37:59.289774+00:00,0.0,3.0
12500,17670,1576.0296333000297,835.6998158114003,0,5570,7,369555,12498,12498,0,0,0,0,375132,58958020,2026-09-06T06:38:36.241456+00:00,0.0,3.0
12750,17670,1613.4727675999748,793.8286016591875,0,5538,32,374125,12748,12748,0,0,0,0,379695,59955292,2026-09-06T06:39:13.684795+00:00,0.0,3.0
13000,17670,1648.549470399972,751.0952221236946,0,5476,3,376612,12996,12996,0,0,0,0,382091,60840722,2026-09-06T06:39:48.762099+00:00,0.0,3.0
13250,17670,1683.8803842000198,708.8334569680084,0,5324,13,380548,13246,13246,0,0,0,0,385885,61742614,2026-09-06T06:40:24.094264+00:00,0.0,3.0
13500,17670,1720.3385578999296,667.3313289714146,0,5564,27,384688,13496,13496,0,0,0,0,390279,62706950,2026-09-06T06:41:00.546547+00:00,0.0,3.0
13750,17670,1755.1637400999898,625.4765328356327,0,5197,16,388919,13746,13746,0,0,0,0,394132,63603959,2026-09-06T06:41:35.377009+00:00,0.0,3.0
14000,17670,1792.0302603999153,584.6000938371279,0,5204,18,395899,13995,13995,0,0,0,0,401121,64688516,2026-09-06T06:42:12.238756+00:00,0.0,3.0
14250,17670,1825.6029955999693,542.9184560827734,0,5147,3,399733,14245,14245,0,0,0,0,404883,65573088,2026-09-06T06:42:45.816803+00:00,0.0,3.0
14500,17670,1857.9716253000079,501.25702571923614,0,5083,9,402852,14493,14493,0,0,0,0,407944,66432491,2026-09-06T06:43:18.189244+00:00,0.0,3.0
14750,17670,1893.845955100027,460.8358490743399,0,5233,33,408216,14743,14743,0,0,0,0,413482,67464143,2026-09-06T06:43:54.054970+00:00,0.0,3.0
15000,17670,1927.5473523000255,420.12664739927084,0,5202,18,412392,14993,14993,0,0,0,0,417612,68394784,2026-09-06T06:44:27.759644+00:00,0.0,4.0
15250,17670,1964.2998875000048,380.28845822000096,0,5283,36,417382,15243,15243,0,0,0,0,422701,69410552,2026-09-06T06:45:04.512504+00:00,0.0,4.0
15500,17670,2001.3335895999335,340.6191285828906,0,5244,30,422673,15493,15493,0,0,0,0,427947,70426561,2026-09-06T06:45:41.548614+00:00,0.0,4.0
15750,17670,2036.3685569999507,300.7559714953773,0,5224,11,426082,15743,15743,0,0,0,0,431317,71277895,2026-09-06T06:46:16.582092+00:00,0.0,4.0
16000,17670,2072.88916209992,261.262256657122,0,5131,19,431682,15993,15993,0,0,0,0,436832,72316613,2026-09-06T06:46:53.102706+00:00,0.0,4.0
16250,17670,2106.8608463000273,221.61054827748436,0,4966,14,436076,16243,16243,0,0,0,0,441056,73218980,2026-09-06T06:47:27.074124+00:00,0.0,4.0
16500,17670,2142.362769200001,182.29559563374553,0,5044,29,441544,16493,16493,0,0,0,0,446617,74198789,2026-09-06T06:48:02.578504+00:00,0.0,4.0
16750,17670,2177.782140400028,143.1113977977161,0,4817,31,447989,16743,16743,0,0,0,0,452837,75291712,2026-09-06T06:48:37.998863+00:00,0.0,4.0
17000,17670,2209.1632451999467,103.86942977431328,0,4690,6,451693,16993,16993,0,0,0,0,456389,76140709,2026-09-06T06:49:09.379302+00:00,0.0,4.0
17250,17670,2240.5056874,64.89740611779311,0,4788,27,455202,17243,17243,0,0,0,0,460017,76969951,2026-09-06T06:49:40.723672+00:00,0.0,4.0
17500,17670,2272.7578627999173,26.19449740176176,0,4561,5,460246,17493,17493,0,0,0,0,464812,77897368,2026-09-06T06:50:12.975268+00:00,0.0,5.0
17670,17670,2292.89204419998,0.0,0,39,2,466826,17663,17663,0,0,0,0,466867,78575585,2026-09-06T06:50:33.110540+00:00,0.0,5.0
