error_band,train_low_upper_seconds,train_medium_upper_seconds,task_decisions,mean_absolute_error_seconds,exact_disagreement_rate,h1_defer_rate,h4_defer_rate,high_risk_state_rate
low,315.0,1750.0,130257,188.0370191237323,0.2586041441150955,0.0,0.0,0.2509193363888313
medium,315.0,1750.0,160641,858.226548639513,0.2646024364888167,0.0,0.0,0.16114192516231846
high,315.0,1750.0,175969,489576.4925526655,0.26330774170450477,0.0,0.0,0.14180338582363938
