record_type,planner,solver_calls,optimal,failures,timeouts,presolve_same_model_retries,solve_ms_mean,solve_ms_p50,solve_ms_p95,solve_ms_p99,solve_ms_max,fallback_labels,empty_states,step,initial_status,initial_message,verified_feasible_witness,retry_backend,retry_status,retry_message
SUMMARY,H1,17663.0,17663.0,0.0,0.0,0.0,2.5096467761723056,1.5601000050082803,6.574320013169189,19.258837974630364,1204.7813999233767,0,,,,,,,,
SUMMARY,H4,17663.0,17663.0,0.0,0.0,5.0,3.474652856138969,2.4184000212699175,8.848659973591559,20.50666003488005,548.6745999660343,0,,,,,,,,
SUMMARY,EMPTY_STATE_SKIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,,,,,,,
PRESOLVE_ANOMALY,H4,,,,,,,,,,,0,,2473.0,infeasible,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),ALL_TERMINAL_BACKLOG,SCIPY_MILP_HIGHS_SAME_MODEL_PRESOLVE_FALSE,optimal,PRESOLVE_RETRY_AFTER_infeasible: Optimization terminated successfully. (HiGHS Status 7: Optimal)
PRESOLVE_ANOMALY,H4,,,,,,,,,,,0,,8433.0,infeasible,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),ALL_TERMINAL_BACKLOG,SCIPY_MILP_HIGHS_SAME_MODEL_PRESOLVE_FALSE,optimal,PRESOLVE_RETRY_AFTER_infeasible: Optimization terminated successfully. (HiGHS Status 7: Optimal)
PRESOLVE_ANOMALY,H4,,,,,,,,,,,0,,11636.0,infeasible,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),ALL_TERMINAL_BACKLOG,SCIPY_MILP_HIGHS_SAME_MODEL_PRESOLVE_FALSE,optimal,PRESOLVE_RETRY_AFTER_infeasible: Optimization terminated successfully. (HiGHS Status 7: Optimal)
PRESOLVE_ANOMALY,H4,,,,,,,,,,,0,,14852.0,infeasible,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),ALL_TERMINAL_BACKLOG,SCIPY_MILP_HIGHS_SAME_MODEL_PRESOLVE_FALSE,optimal,PRESOLVE_RETRY_AFTER_infeasible: Optimization terminated successfully. (HiGHS Status 7: Optimal)
PRESOLVE_ANOMALY,H4,,,,,,,,,,,0,,17322.0,infeasible,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),ALL_TERMINAL_BACKLOG,SCIPY_MILP_HIGHS_SAME_MODEL_PRESOLVE_FALSE,optimal,PRESOLVE_RETRY_AFTER_infeasible: Optimization terminated successfully. (HiGHS Status 7: Optimal)
