interpretation,resource,count,sum,mean,p50,p90,p99,p999,max,count_exceeds_smallest_dc,count_exceeds_largest_dc,tasks_infeasible_at_every_dc,official_contract
PER_JOB,cpu,466867,11455545.000000004,24.537063017947304,8.0,93.20000000006985,184.0,192.0,192.0,0,0,0,True
PER_JOB,gpu,466867,944430.4400000002,2.022911107446018,1.0,8.0,8.0,8.0,8.0,0,0,0,True
PER_WORKER_DIAGNOSTIC_ONLY,cpu,466867,36098708.6,77.3211826922871,8.0,112.0,1120.0,8280.0,33488.0,0,0,65,False
PER_WORKER_DIAGNOSTIC_ONLY,gpu,466867,2297966.939999999,4.922101883405764,1.0,8.0,64.0,480.0,1456.0,660,65,65,False
