profile,priority,max_wait_steps,max_wait_minutes,defer_allowed,defer_class,sla_formula,provenance,selected_for_v1
conservative,HP,0,0,True,TIGHT,ceil_estimated_duration_steps_plus_max_wait_steps,MODELED_SCENARIO_PARAMETER,False
conservative,Spot,2,30,True,BOUNDED_LIMITED,ceil_estimated_duration_steps_plus_max_wait_steps,MODELED_SCENARIO_PARAMETER,False
medium,HP,1,15,True,TIGHT,ceil_estimated_duration_steps_plus_max_wait_steps,MODELED_SCENARIO_PARAMETER,True
medium,Spot,8,120,True,BOUNDED_FLEXIBLE,ceil_estimated_duration_steps_plus_max_wait_steps,MODELED_SCENARIO_PARAMETER,True
elastic,HP,2,30,True,TIGHT,ceil_estimated_duration_steps_plus_max_wait_steps,MODELED_SCENARIO_PARAMETER,False
elastic,Spot,24,360,True,BOUNDED_FLEXIBLE,ceil_estimated_duration_steps_plus_max_wait_steps,MODELED_SCENARIO_PARAMETER,False
