controller,drain_steps,maximum_drain_steps,drained_to_empty,primary_pending,primary_running,primary_in_transit,primary_completed,tail_pending,tail_running,tail_in_transit,tail_completed,primary_terminal_pending_cost,tail_terminal_pending_cost,terminal_pending_cost_change
H1,3,17670,True,0,39,2,466826,0,0,0,466867,0.0,0.0,0.0
H4_ORACLE,3,17670,True,0,39,2,466826,0,0,0,466867,0.0,0.0,0.0
