controller,metric,value
H4_ORACLE,primary_steps,17670.0
H4_ORACLE,task_count,466867.0
H4_ORACLE,stage_cost_total,4323847.572407141
H4_ORACLE,stage_cost_mean_per_step,244.69991920810082
H4_ORACLE,reward_total,-4323847.572407141
H4_ORACLE,reward_mean,-244.69991920810082
H4_ORACLE,objective_electricity,26470.280253103097
H4_ORACLE,objective_carbon,75806.08085636623
H4_ORACLE,objective_transmission,498.71129767231537
H4_ORACLE,objective_waiting_defer,0.0
H4_ORACLE,objective_sla_penalty,4221072.5
H4_ORACLE,objective_terminal_backlog,0.0
H4_ORACLE,physical_energy_kwh_primary,20778224.815361254
H4_ORACLE,physical_electricity_cost_usd_primary,2353869.1954345508
H4_ORACLE,physical_carbon_kg_primary,5400113.813521058
H4_ORACLE,physical_energy_kwh_with_tail,20778234.664589055
H4_ORACLE,physical_electricity_cost_usd_with_tail,2353869.482045755
H4_ORACLE,physical_carbon_kg_with_tail,5400114.9345969055
H4_ORACLE,transmission_cost_usd,498.71129767231537
H4_ORACLE,transmission_amount_gb,6862.86716984354
H4_ORACLE,migration_count,342073.0
H4_ORACLE,defer_decision_count,0.0
H4_ORACLE,primary_completed_count,466826.0
H4_ORACLE,primary_completion_rate,0.9999121805567752
H4_ORACLE,primary_sla_violation_count,190408.0
H4_ORACLE,primary_sla_violation_rate,0.40784206208620444
H4_ORACLE,wait_bound_violation_count,3228.0
H4_ORACLE,wait_bound_violation_rate,0.006914174700717764
H4_ORACLE,tail_completed_count,466867.0
H4_ORACLE,tail_completion_rate,1.0
H4_ORACLE,tail_sla_violation_count,190411.0
H4_ORACLE,tail_sla_violation_rate,0.4078484878991233
H4_ORACLE,primary_remaining_pending,0.0
H4_ORACLE,primary_remaining_running,39.0
H4_ORACLE,primary_remaining_in_transit,2.0
H4_ORACLE,tail_remaining_pending,0.0
H4_ORACLE,tail_remaining_running,0.0
H4_ORACLE,tail_remaining_in_transit,0.0
H4_ORACLE,tail_drain_steps,3.0
H4_ORACLE,primary_terminal_pending_cost,0.0
H4_ORACLE,tail_terminal_pending_cost,0.0
H4_ORACLE,solver_calls,17663.0
H4_ORACLE,solver_optimal,17663.0
H4_ORACLE,solver_retries,5.0
H4_ORACLE,solver_failures,0.0
H4_ORACLE,solver_timeouts,0.0
H4_ORACLE,fallback_count,0.0
H4_ORACLE,waiting_mean,1.017373256195019
H4_ORACLE,waiting_p50,1.0
H4_ORACLE,waiting_p90,1.0
H4_ORACLE,waiting_p95,1.0
H4_ORACLE,waiting_p99,1.0
H4_ORACLE,waiting_max,43.0
H4_ORACLE,backlog_mean,26.880475382003397
H4_ORACLE,backlog_p50,22.0
H4_ORACLE,backlog_p90,47.0
H4_ORACLE,backlog_p95,62.0
H4_ORACLE,backlog_p99,137.0
H4_ORACLE,backlog_max,3651.0
H4_ORACLE,solver_ms_mean,3.727156575725686
H4_ORACLE,solver_ms_p50,2.6215999387204647
H4_ORACLE,solver_ms_p90,6.182719953358176
H4_ORACLE,solver_ms_p95,9.434200008399758
H4_ORACLE,solver_ms_p99,21.736791939474728
H4_ORACLE,solver_ms_max,567.3689000541344
H4_ORACLE,terminal_backlog,2.0
H4_ORACLE,dispatch_count,466867.0
