record_type,block_type,block_id,start_step,end_step_inclusive,steps,independent_random_sample,stage_cost_h1,stage_cost_h4,stage_cost_delta_h4_minus_h1,sla_violation_count_h1,sla_violation_count_h4,sla_violation_count_delta_h4_minus_h1,physical_electricity_cost_usd_h1,physical_electricity_cost_usd_h4,physical_electricity_cost_usd_delta_h4_minus_h1,physical_carbon_kg_h1,physical_carbon_kg_h4,physical_carbon_kg_delta_h4_minus_h1,stage_transmission_h1,stage_transmission_h4,stage_transmission_delta_h4_minus_h1,backlog_mean_h1,backlog_mean_h4,backlog_mean_delta_h4_minus_h1
BLOCK,DAILY_96_STEPS,35,3360,3455,96,False,11552.93654053943,11559.728476486733,6.7919359473035,529.0,534.0,5.0,12693.724686819143,12622.192693770341,-71.53199304880218,25425.415767087685,25410.03288072704,-15.38288636064317,1.8840769541004603,1.8357261345990001,-0.04835081950146014,15.375,16.020833333333332,0.6458333333333321
BLOCK,DAILY_96_STEPS,36,3456,3551,96,False,14098.32757239312,14103.580531439866,5.252959046745673,525.0,527.0,2.0,8734.074802473264,8722.828344167927,-11.246458305337,22067.45674767468,22045.448609447267,-22.008138227414747,2.9226766320886677,2.866862532564576,-0.05581409952409189,24.34375,24.71875,0.375
BLOCK,DAILY_96_STEPS,37,3552,3647,96,False,16338.419709415071,16359.571220616486,21.151511201414905,628.0,629.0,1.0,12056.684744786839,12045.787509637015,-10.897235149823246,24815.417640400174,24835.492313046176,20.074672646002,2.3811875788337282,2.408191812464004,0.02700423363027582,25.677083333333332,26.020833333333332,0.34375
BLOCK,DAILY_96_STEPS,38,3648,3743,96,False,19175.962236556617,19168.801981011777,-7.160255544840766,849.0,849.0,0.0,13337.705339984243,13418.467478885894,80.76213890165127,27739.300921838818,27814.548585531826,75.24766369300778,2.773170280667556,2.767472507747052,-0.005697772920504107,25.916666666666668,26.03125,0.11458333333333215
BLOCK,DAILY_96_STEPS,39,3744,3839,96,False,20375.223973169963,20404.256806448368,29.032833278404723,886.0,888.0,2.0,18007.708082159887,18038.372746414938,30.66466425505132,33230.99944787261,33328.10057247625,97.10112460364326,2.35193633616438,2.391419494993788,0.039483158829408005,22.229166666666668,22.5,0.27083333333333215
BLOCK,DAILY_96_STEPS,40,3840,3935,96,False,17839.028168697645,17890.983592606455,51.95542390881019,803.0,805.0,2.0,20055.666570037312,20032.878122041668,-22.788447995644674,33477.73430892578,33591.692362906164,113.95805398038647,2.1100618631728443,2.088554776656012,-0.021507086516832086,18.427083333333332,18.572916666666668,0.1458333333333357
BLOCK,DAILY_96_STEPS,41,3936,4031,96,False,14456.191999580145,14500.227956907453,44.03595732730719,731.0,731.0,0.0,16148.763992229393,16178.641629689066,29.87763745967277,28894.817633385646,28910.641676096537,15.824042710890353,1.8990035141457242,1.8286239810290763,-0.07037953311664791,16.072916666666668,16.197916666666668,0.125
BLOCK,DAILY_96_STEPS,42,4032,4127,96,False,22488.776938912553,22488.34653175615,-0.43040715640381677,1089.0,1098.0,9.0,18541.579788460218,18588.07506653801,46.495278077793046,29404.40497259894,29514.45091330222,110.04594070327948,2.8137368188550886,2.8234471079167927,0.009710289061704014,24.020833333333332,24.302083333333332,0.28125
BLOCK,DAILY_96_STEPS,43,4128,4223,96,False,29732.09898961226,29740.739452356498,8.640462744238903,1199.0,1244.0,45.0,12251.216378096882,12255.47230763443,4.255929537548582,27568.999409128992,27612.79690548213,43.79749635313783,3.596137341227676,3.5884333102365717,-0.007704030991104283,32.59375,33.666666666666664,1.0729166666666643
BLOCK,DAILY_96_STEPS,44,4224,4319,96,False,27772.18878828063,27789.735048750546,17.546260469916888,1163.0,1174.0,11.0,11251.700381293038,11279.88296317709,28.182581884051615,28860.66516391483,28945.14728780966,84.4821238948316,3.3471607146662157,3.3243696229842,-0.02279109168201554,29.21875,29.708333333333332,0.48958333333333215
BLOCK,DAILY_96_STEPS,45,4320,4415,96,False,31286.262114694477,31303.45669445466,17.194579760183842,1339.0,1341.0,2.0,13196.026462870603,13213.573805246988,17.54734237638513,32970.949261892296,33174.18132227719,203.23206038489297,3.190191083222472,3.246245933715036,0.05605485049256398,33.177083333333336,33.291666666666664,0.1145833333333286
BLOCK,DAILY_96_STEPS,46,4416,4511,96,False,31334.068837965206,31381.784885348032,47.71604738282622,1462.0,1463.0,1.0,14521.428660020538,14533.659800638303,12.23114061776505,34507.74537219818,34610.62866019691,102.88328799873125,3.383032608968544,3.3309902746171804,-0.05204233435136363,33.677083333333336,33.927083333333336,0.25
BLOCK,DAILY_96_STEPS,47,4512,4607,96,False,30662.989520462615,30674.37971336709,11.390192904473224,1384.0,1395.0,11.0,17969.504921893946,18035.020688862278,65.51576696833217,36343.44930070206,36484.3414273909,140.89212668884284,3.177150405763572,3.161220716683008,-0.015929689080564025,32.291666666666664,32.635416666666664,0.34375
BLOCK,DAILY_96_STEPS,48,4608,4703,96,False,31707.849307790675,31718.74990308281,10.900595292136131,1583.0,1600.0,17.0,16893.237245610384,16952.156942968653,58.91969735826933,34719.758608610864,34797.76692447935,78.00831586848653,3.6845330718183122,3.6953267402381402,0.010793668419827984,33.791666666666664,34.46875,0.6770833333333357
BLOCK,DAILY_96_STEPS,49,4704,4799,96,False,28507.76235590902,28518.89424276833,11.131886859307997,1446.0,1449.0,3.0,12313.692540157152,12300.727139263781,-12.965400893370315,33733.539647228215,33753.70074168058,20.161094452363614,2.998633562641584,2.952289001210724,-0.046344561430859965,31.28125,31.5,0.21875
BLOCK,DAILY_96_STEPS,50,4800,4895,96,False,27117.964295086407,27127.010862491188,9.046567404780944,1132.0,1133.0,1.0,13395.321269924283,13430.04819225024,34.726922325957275,36017.06245897124,36045.54687306473,28.484414093494706,2.9470727302271644,2.860964133837012,-0.08610859639015223,28.645833333333332,28.697916666666668,0.0520833333333357
BLOCK,DAILY_96_STEPS,51,4896,4991,96,False,25879.714200861916,25878.53640554315,-1.1777953187665844,1117.0,1132.0,15.0,13039.432811051334,13038.921757870188,-0.5110531811460532,31942.40670287882,31938.540622120374,-3.866080758445605,2.954776761218268,2.9824631225925478,0.027686361374279933,28.53125,28.979166666666668,0.44791666666666785
BLOCK,DAILY_96_STEPS,52,4992,5087,96,False,38543.612704916224,38565.95241854081,22.339713624583965,1568.0,1570.0,2.0,11828.305371981747,11764.72964438836,-63.575727593386546,27729.894359183912,27709.03269694389,-20.86166224002227,4.363771804200647,4.429577068916328,0.0658052647156806,42.03125,42.166666666666664,0.1354166666666643
BLOCK,DAILY_96_STEPS,53,5088,5183,96,False,46953.00863029517,46997.70421571359,44.695585418419796,1807.0,1831.0,24.0,15824.151838919106,15810.8674879855,-13.28435093360531,30968.50130094928,30978.849570498318,10.348269549038378,5.7040324456842715,5.633452286760563,-0.0705801589237085,50.083333333333336,50.583333333333336,0.5
BLOCK,DAILY_96_STEPS,54,5184,5279,96,False,46303.161000048785,46329.158018220114,25.99701817132882,1744.0,1765.0,21.0,18446.452819615522,18391.70128022855,-54.75153938697258,30767.72269679023,30794.815507449322,27.0928106590909,5.071980903122446,5.095173246418583,0.023192343296137174,49.520833333333336,50.0,0.4791666666666643
BLOCK,DAILY_96_STEPS,55,5280,5375,96,False,51684.77372529486,51705.500008578456,20.726283283598605,1565.0,1574.0,9.0,18445.92668220958,18452.704583626317,6.7779014167354035,34410.192448241316,34504.26508907277,94.07264083145128,5.437280372617296,5.444262150702983,0.006981778085687118,55.145833333333336,55.40625,0.2604166666666643
BLOCK,DAILY_96_STEPS,56,5376,5471,96,False,36964.02936295835,36938.504537813016,-25.524825145330396,1404.0,1420.0,16.0,16694.277286373926,16672.501403864153,-21.77588250977351,36769.701807888916,36843.086489515015,73.38468162609934,4.025115441883368,3.985070530794192,-0.04004491108917563,38.791666666666664,39.166666666666664,0.375
BLOCK,DAILY_96_STEPS,57,5472,5567,96,False,25883.864906180654,25877.626707373056,-6.238198807597655,1225.0,1230.0,5.0,12232.628667449128,12245.080939603551,12.452272154423554,32735.393040805822,32780.65844428891,45.26540348308481,2.555892531621576,2.626753566675168,0.07086103505359187,26.864583333333332,27.229166666666668,0.3645833333333357
BLOCK,DAILY_96_STEPS,58,5568,5663,96,False,28690.237001953363,28684.601375674,-5.6356262793633505,1394.0,1395.0,1.0,13842.70585284353,13808.986137458214,-33.719715385315794,35846.257024436454,35947.426067990025,101.1690435535711,2.9928555393982563,2.9959050516655683,0.0030495122673119823,32.489583333333336,32.6875,0.1979166666666643
BLOCK,DAILY_96_STEPS,59,5664,5759,96,False,23717.232478292364,23704.01446076027,-13.218017532093654,1109.0,1128.0,19.0,14794.475615401763,14778.732952710421,-15.742662691342048,34553.91407304947,34674.55797048177,120.64389743230277,2.5786434981421804,2.65748944031676,0.07884594217457952,27.229166666666668,27.916666666666668,0.6875
BLOCK,DAILY_96_STEPS,60,5760,5855,96,False,26040.14869129123,26089.72944934904,49.58075805781118,1031.0,1032.0,1.0,16932.506676085268,16914.34039871602,-18.166277369247837,34979.52413230549,35058.818686768296,79.29455446280917,3.699660257670636,3.669365760804576,-0.030294496866059895,35.895833333333336,35.9375,0.0416666666666643
BLOCK,DAILY_96_STEPS,61,5856,5951,96,False,21061.02842423215,21076.83898369597,15.810559463818208,1106.0,1113.0,7.0,14573.373537618212,14548.121288974722,-25.25224864349002,33734.033709473406,33788.318260265776,54.28455079237028,2.925284767580448,2.893064262966612,-0.03222050461383619,28.270833333333332,28.520833333333332,0.25
BLOCK,DAILY_96_STEPS,62,5952,6047,96,False,17736.775889062188,17753.337965130217,16.562076068028546,796.0,812.0,16.0,14870.446996528906,14864.768438859577,-5.678557669329166,34502.253808744594,34543.57243588823,41.31862714363524,2.372881670421444,2.2693988791398967,-0.10348279128154747,22.21875,22.604166666666668,0.38541666666666785
BLOCK,DAILY_96_STEPS,63,6048,6143,96,False,13440.064316571363,13444.066638284537,4.0023217131747515,500.0,520.0,20.0,14985.548006637808,15040.110899604191,54.562892966383515,33316.39277245655,33390.69467936242,74.30190690587187,1.7246596878105844,1.7893815731681402,0.06472188535755574,15.71875,16.614583333333332,0.8958333333333321
BLOCK,DAILY_96_STEPS,64,6144,6239,96,False,16045.561282530736,16046.33720727502,0.7759247442845663,730.0,747.0,17.0,13102.832863791838,13132.219126745738,29.38626295389986,32535.251956795575,32601.323028303403,66.07107150782758,1.8650175024297604,1.8896543515367283,0.02463684910696795,18.21875,18.572916666666668,0.35416666666666785
BLOCK,DAILY_96_STEPS,65,6240,6335,96,False,13259.381829005213,13263.904299468531,4.522470463318314,523.0,539.0,16.0,12800.374082531069,12790.346688605568,-10.027393925500292,30843.7000154349,30893.699854822036,49.99983938713558,1.7366169859113603,1.726064068460004,-0.010552917451356336,16.072916666666668,16.34375,0.27083333333333215
BLOCK,DAILY_96_STEPS,66,6336,6431,96,False,21257.7390327622,21281.38759466708,23.648561904879898,983.0,988.0,5.0,16916.278416995934,16870.382023212533,-45.896393783401436,31452.797054733182,31515.3354136798,62.538358946618246,2.374566927200748,2.357353232955,-0.017213694245747924,23.104166666666668,23.447916666666668,0.34375
BLOCK,DAILY_96_STEPS,67,6432,6527,96,False,28799.37123291357,28826.806485601166,27.435252687595494,1275.0,1278.0,3.0,17807.16005632051,17740.632360007352,-66.52769631315823,33357.72220268195,33409.078681815976,51.356479134024994,3.1058479939344483,3.1418803888824245,0.036032394947976165,30.541666666666668,30.697916666666668,0.15625
BLOCK,DAILY_96_STEPS,68,6528,6623,96,False,29577.667083924076,29591.736197482758,14.069113558682147,1100.0,1101.0,1.0,20280.24469164969,20139.46977929425,-140.77491235543857,36671.986559640776,36796.82686729193,124.84030765115313,3.116601537192864,3.180400543837944,0.06379900664507998,31.21875,31.270833333333332,0.05208333333333215
BLOCK,DAILY_96_STEPS,69,6624,6719,96,False,29859.00960519311,29852.76182888828,-6.24777630483004,1213.0,1250.0,37.0,19273.416243408177,19236.79947610006,-36.61676730811814,36837.521347905604,36952.91960308641,115.39825518080761,3.1207745539797127,3.2874544744851604,0.16667992050544767,31.114583333333332,31.802083333333332,0.6875
BLOCK,DAILY_96_STEPS,70,6720,6815,96,False,27218.946457122547,27222.963924992935,4.017467870387918,1233.0,1239.0,6.0,14525.088581329568,14507.589053494186,-17.49952783538174,35550.667751863,35655.80266454005,105.13491267705103,2.861365385451132,2.881427966157132,0.020062580705999977,28.229166666666668,28.34375,0.11458333333333215
BLOCK,DAILY_96_STEPS,71,6816,6911,96,False,25371.21035246046,25387.343899338935,16.13354687847459,997.0,1005.0,8.0,14080.84661343808,14058.173632908816,-22.67298052926344,33891.028178714405,33984.15950989729,93.13133118288533,2.5960979433564004,2.5353083238172203,-0.06078961953918016,26.708333333333332,26.96875,0.26041666666666785
BLOCK,DAILY_96_STEPS,72,6912,7007,96,False,23979.612316581177,23983.53113236329,3.9188157821117784,902.0,917.0,15.0,11708.94214870972,11732.979567030801,24.037418321080622,32266.201710504916,32404.90204058373,138.70033007881284,2.7411905270221917,2.752866948993084,0.01167642197089247,26.114583333333332,26.458333333333332,0.34375
BLOCK,DAILY_96_STEPS,73,7008,7103,96,False,30219.2036958598,30267.62648496101,48.422789101208764,1379.0,1381.0,2.0,11993.573630254155,11955.559097751036,-38.01453250311897,28873.407436309288,28950.020880221473,76.61344391218518,3.514643138399904,3.462119302111596,-0.05252383628830781,35.15625,35.25,0.09375
BLOCK,DAILY_96_STEPS,74,7104,7199,96,False,30737.171822360157,30763.323786209032,26.15196384887531,1272.0,1280.0,8.0,15156.572145144379,15041.900608973943,-114.6715361704355,29981.97481077339,30078.56335497136,96.5885441979699,3.3387344307696956,3.3268975081531558,-0.011836922616539791,34.65625,34.864583333333336,0.2083333333333357
BLOCK,DAILY_96_STEPS,75,7200,7295,96,False,29124.749597904134,29150.048851146377,25.29925324224314,1201.0,1203.0,2.0,14334.981089227424,14321.325729302227,-13.655359925196535,30347.748802694216,30464.693074482042,116.94427178782644,3.1874625722464565,3.175224398015796,-0.012238174230660537,31.8125,31.875,0.0625
BLOCK,DAILY_96_STEPS,76,7296,7391,96,False,29726.659009484956,29775.075372819134,48.41636333417773,1342.0,1348.0,6.0,14952.23374858386,14952.02696284182,-0.20678574204066535,29534.125062503226,29632.163260102723,98.03819759949693,3.3667417934352724,3.405261948390792,0.038520154955519637,33.052083333333336,33.322916666666664,0.2708333333333286
BLOCK,DAILY_96_STEPS,77,7392,7487,96,False,28528.502166985487,28557.628342164044,29.126175178556878,1328.0,1336.0,8.0,13970.60644892187,14054.53895657527,83.93250765340053,30903.511288716632,31065.625332327978,162.11404361134555,3.2036330122954926,3.197212986469572,-0.0064200258259203835,31.302083333333332,31.6875,0.38541666666666785
BLOCK,DAILY_96_STEPS,78,7488,7583,96,False,25744.033368625533,25746.69660216931,2.663233543778915,1309.0,1323.0,14.0,12733.257261666233,12828.264975664693,95.00771399846053,30023.587091167585,30168.836649780656,145.2495586130717,3.657047336251092,3.7019875170325323,0.044940180781440464,30.583333333333332,30.947916666666668,0.3645833333333357
BLOCK,DAILY_96_STEPS,79,7584,7679,96,False,23915.83588434248,23911.069525737643,-4.766358604836569,964.0,968.0,4.0,12058.06862123474,12099.119586599252,41.050965364513104,28119.668439904028,28302.832816452166,183.16437654813853,2.720445818572188,2.706602637885048,-0.013843180687139967,26.135416666666668,26.5,0.36458333333333215
BLOCK,DAILY_96_STEPS,80,7680,7775,96,False,29331.398156986423,29316.615582948143,-14.782574038279563,1163.0,1164.0,1.0,14511.7993055063,14570.21976640527,58.420460898969395,29017.421562988937,29272.315762264014,254.89419927507697,3.04028348018724,3.0507160221543597,0.010432541967119846,31.0,31.072916666666668,0.07291666666666785
